Nature Geoscience.json,2225,40,9465,0.995773904,0.764923402,111,42.51,Earth and Planetary 
Earth and Planetary Science Letters.json,696,20,2816,0.992897727,0.752840909,177,53.89333,Earth and Plantery
Journal of Advances in Modeling Earth Systems.json,786,30,2896,0.989640884,0.72859116,18,30.8,Earth and Planetary
Earth System Science Data.json,986,38,3350,0.988656716,0.705671642,12,37.753333,Earth and Plantery
Saudi Journal of Biological Sciences.txt,40,14,578,0.975778547,0.930795848,14,24.826667,agri and biological
Journal of Agricultural and Environmental Ethics.txt,74,15,463,0.967602592,0.840172786,32,12.49333,agri and biological
Brazilian Journal of Biology.txt,28,5,106,0.952830189,0.735849057,35,5.4633333,agri and biological
Nongye Jixie Xuebao(Transactions of the Chinese Society of Agricultural Machinery).txt,8,3,42,0.928571429,0.80952381,25,5.506667,agri and biological
Open Life Sciences.txt,56,9,207,0.956521739,0.729468599,21,18.623333,agri and biological
Journal of Biological Systems.txt,12,3,38,0.921052632,0.684210526,22,20.976667,agri and biological
Biology Direct.txt,122,12,911,0.986827662,0.866081229,45,23.16,agri and biological
Bragantia.txt,18,2,34,0.941176471,0.470588235,20,5.046667,agri and biological
Plant Molecular Biology.json,234,27,2172,0.987569061,0.892265193,137,30.036667,agronomy and crop
Theoretical and Applied Genetics.json,492,24,2496,0.990384615,0.802884615,144,41.586667,agronomy and crop
Algal Research.json,346,40,2506,0.984038308,0.861931365,20,23.58,agronomy and crop
Radiocarbon.json,1046,12,3042,0.996055227,0.656147272,65,44.113333,earth and plantery
Journal of Plant Biochemistry and Biotechnology.json,67,11,245,0.955102041,0.726530612,20,11.216667,agronomy and crop
Indian Journal of Agricultural Sciences.json,8,1,19,0.947368421,0.578947368,18,6.21,agronomy and crop
Indian Journal of Agronomy.json,9,4,42,0.904761905,0.785714286,16,3.06,agronomy and crop
Research Journal of Chemistry and Environment.json,20,5,84,0.940476191,0.761904762,10,8.03333,environmental
Journal of Biopesticides.json,7,5,106,0.952830189,0.933962264,9,7.416667,agronomy and crop
Range Management and Agroforestry.json,0,1,4,0.75,1,2,0.793333,agronomy and crop
Colourage.json,2,2,5,0.6,0.6,20,0.67,environmental
International Journal of Agricultural and Statistical Sciences.json,15,3,25,0.88,0.4,3,3.843333,agricultral and biological
Disaster Advances.json,28,7,115,0.939130435,0.756521739,11,7.74,earth and planetry
Nature Environment and Pollution Technology.json,8,3,18,0.833333333,0.555555556,5,12.03,environmental
Journal of Agrometeorology.json,5,1,7,0.857142857,0.285714286,5,2.82,agronomy and crop
Journal of Tropical Agriculture.json,16,1,19,0.947368421,0.157894737,9,4.4,agronomy and crop
Legume Research.json,11,2,14,0.857142857,0.214285714,6,4.723333,agronomy and crop
Annals of Biology.json,5,3,10,0.7,0.5,4,0,agricultral and biological
Journal of the Indian Society of Remote Sensing.json,49,11,217,0.949308756,0.774193548,21,12.836667,earth and planetry
Annals of Agri Bio Research.json,9,3,12,0.75,0.25,3,0,agricultral and biological
